Row,Keteleeria,Agathis,Nageia,Sciadopitys,Cephalotaxus,Cunninghamia
226,0,0,1,0,0,1
227,0,0,0,0,1,1
228,0,0,0,0,1,1
229,1,1,0,1,1,1
230,0,0,0,0,0,1
231,1,0,0,0,0,0
232,1,1,1,0,0,0
233,0,0,0,0,1,1
234,0,0,0,0,1,1
235,0,0,1,0,1,1
236,1,1,0,1,1,1
237,1,0,0,0,0,0
238,1,0,0,1,0,1
239,0,0,1,1,1,1
240,1,0,0,0,0,0
241,0,0,1,0,1,1
242,1,0,1,1,0,1
243,0,0,1,1,1,0
244,0,1,1,1,1,1
245,0,0,1,0,0,1
246,1,0,0,0,0,1
247,1,1,0,0,1,1
248,0,0,1,0,0,1
249,0,0,0,0,1,1
250,0,1,0,0,0,0
251,0,0,0,0,1,1
252,0,0,0,0,1,0
253,0,0,0,0,1,1
254,0,0,0,0,0,1
255,1,1,0,1,1,1
256,1,0,0,0,0,0
257,0,0,1,0,0,0
258,0,1,0,0,0,0
259,1,1,0,0,1,1
260,1,1,0,1,1,0
261,0,0,0,0,1,1
262,0,0,0,1,0,1
263,0,0,1,0,0,0
264,0,0,0,0,0,1
265,0,0,0,0,0,1
266,0,0,1,1,0,1
267,0,0,1,0,0,0
268,0,0,1,0,0,0
269,0,0,0,0,0,1
270,1,0,0,1,0,1
271,1,0,1,1,1,1
272,1,0,0,0,0,0
273,0,0,1,0,0,0
274,1,1,0,1,0,1
275,1,0,0,0,0,0
276,1,1,1,0,0,1
277,1,0,1,0,0,1
278,0,0,1,1,0,1
279,0,0,1,1,0,1
280,0,1,0,0,0,0
281,0,0,1,0,0,0
282,0,1,0,0,0,0
283,0,0,0,1,0,1
284,1,0,1,0,0,0
285,0,0,1,0,0,0
286,1,0,0,0,0,0
287,1,0,0,0,0,1
288,1,0,0,0,0,0
289,1,0,1,1,0,1
290,0,1,0,1,0,1
291,1,0,1,1,0,1
292,0,0,1,1,0,0
293,0,0,0,0,0,1
294,0,0,1,0,0,0
295,0,0,0,0,0,1
296,0,0,1,0,0,0
297,0,0,0,0,0,1
298,0,1,1,1,0,1
299,0,0,0,0,0,1
300,0,0,0,1,0,0
301,1,0,1,1,1,1
302,0,1,1,0,0,0
303,1,1,0,1,0,1
304,1,0,1,0,0,0
305,0,0,0,1,0,0
306,1,0,1,0,0,0
307,0,1,1,0,0,0
308,1,1,1,1,1,1
309,1,0,0,0,0,1
310,0,0,1,0,0,0
311,1,0,0,0,1,1
312,1,0,1,0,0,0
313,0,1,1,1,0,1
314,1,0,0,0,0,0
315,0,1,1,1,0,1
316,0,0,0,0,1,1
317,0,0,1,0,0,0
318,1,1,1,1,1,1
319,1,1,0,1,0,1
320,1,0,0,0,0,0
321,0,0,1,0,0,0
322,1,1,1,1,0,1
323,1,1,1,0,0,0
324,1,0,0,1,0,1
325,1,0,0,1,0,1
326,1,1,1,1,0,1
327,0,0,0,0,0,1
328,1,1,1,1,0,0
329,1,1,1,1,1,1
330,1,1,1,1,1,0
331,1,0,0,0,0,0
332,1,1,1,1,0,1
333,0,1,0,1,0,1
334,0,0,1,0,0,0
335,1,1,1,1,0,1
336,0,0,1,0,0,0
337,0,0,1,0,0,0
338,1,0,0,0,0,0
339,1,0,0,0,0,0
340,0,0,0,0,0,1
341,0,0,1,0,0,0
342,0,0,0,1,0,0
343,1,0,0,0,0,1
344,1,0,0,0,0,0
345,1,0,0,1,1,1
346,1,0,0,0,0,0
347,0,0,0,1,1,1
348,0,0,0,0,1,1
349,1,0,1,0,0,0
350,1,0,1,0,0,0
351,1,0,1,0,0,0
352,1,0,0,0,0,0
353,0,0,0,0,0,1
354,1,1,0,1,1,1
355,0,0,1,0,0,0
356,0,0,0,0,1,0
357,0,0,0,0,1,0
358,1,0,1,1,0,0
359,0,0,1,0,0,0
360,0,0,0,0,1,0
361,0,0,1,0,1,1
362,1,0,1,0,0,0
363,1,0,1,0,0,0
364,0,0,1,0,0,0
365,1,0,0,0,0,0
366,1,0,0,0,0,0
367,0,0,1,0,0,0
368,0,0,0,1,0,0
369,1,0,0,0,1,1
370,0,0,0,0,0,1
371,0,0,0,0,1,1
372,0,1,0,0,0,0
373,1,0,1,1,1,1
374,0,0,1,0,1,1
375,1,0,0,0,0,0
376,0,0,1,1,1,1
377,0,0,1,0,0,0
378,1,0,0,0,1,1
379,1,0,0,0,1,0
380,1,0,0,0,0,0
381,0,0,0,0,1,1
382,0,0,1,1,0,0
383,1,0,1,1,1,0
384,1,0,0,0,0,0
385,1,0,1,0,0,0
386,0,0,0,0,1,1
387,1,0,1,0,0,0
388,1,0,0,0,0,0
389,1,0,1,1,0,0
390,0,0,1,0,0,0
391,1,0,0,1,1,1
392,1,0,1,0,0,1
393,1,0,1,0,0,0
394,0,0,0,0,1,0
395,0,0,0,0,1,1
396,0,0,1,0,0,0
397,0,0,1,0,0,1
398,1,0,1,0,1,1
399,0,0,1,1,1,1
400,1,0,0,0,0,0
401,1,0,0,0,0,0
402,1,0,1,0,0,0
403,1,0,0,1,1,1
404,0,0,0,0,1,0
405,0,0,0,1,0,0
406,1,0,0,0,0,0
407,0,0,0,1,1,1
408,0,0,1,0,0,0
409,0,0,1,0,0,0
410,0,0,1,0,0,0
411,0,0,0,0,1,1
412,0,0,1,1,1,1
413,0,0,1,1,1,1
414,0,0,0,0,1,0
415,1,0,0,0,0,0
416,1,0,0,1,1,1
417,1,0,0,0,0,0
418,0,0,0,0,1,0
419,1,0,1,0,0,0
420,1,0,0,1,1,1
421,0,0,0,0,0,1
422,0,0,1,0,0,0
423,1,0,0,0,0,0
424,0,0,0,1,0,0
425,1,1,1,1,1,1
426,0,1,0,0,0,0
427,0,0,0,0,1,1
428,1,1,0,0,1,1
429,0,0,1,0,0,0
430,0,1,0,1,1,1
431,1,0,0,0,0,0
432,1,0,0,0,0,0
433,1,1,0,1,1,1
434,1,1,1,1,1,1
435,1,1,1,1,0,1
436,1,1,1,1,1,1
437,1,0,1,0,1,1
438,1,1,1,1,1,0
439,1,1,1,1,0,1
440,0,0,0,0,1,0
441,0,0,0,0,1,0
442,1,1,1,1,0,1
443,1,1,1,1,1,1
444,0,0,0,0,1,0
445,0,0,0,0,1,0
446,0,1,1,0,1,1
447,0,0,1,0,0,0
448,0,0,0,1,0,0
449,1,0,1,1,1,1
450,0,0,0,1,1,1
451,1,0,0,0,0,0
452,0,0,1,1,0,1
453,1,1,0,1,0,1
454,0,0,0,1,0,0
455,0,0,0,0,0,1
456,1,1,1,1,1,0
457,0,0,1,1,1,1
458,1,1,0,0,0,0
459,1,1,0,0,0,0
